CM_field_label|base_field|quadric|cubic

8.0.96467390464.1|||
8.0.32503762944.8|||
8.0.256356904489.1|||
8.0.1333760000.1|||
8.0.118976015041.1|||
8.0.69527932928.6|||
8.0.798269362813.1|||
8.0.284363125.1|||
8.0.440008699241.1|||
8.0.1087518125.1|||
8.0.3340840000.1|||
8.0.71062763776.1|||
8.0.17555190016.1|||
8.0.339738624.1|x-1|3369064*X^2+7061024*X*Y+14294264*X*Z-3444404*Y^2-30855388*Y*Z+23004241*Z^2|268046509840*X^3-31690301136*X^2*Y+416733635872*X^2*Z-565913616456*X*Y^2+691499236856*X*Y*Z+554272278842*X*Z^2+260528754136*Y^3+1088427582040*Y^2*Z+1247592992762*Y*Z^2+1218672904808*Z^3+77847802734375*T^3
8.0.5979619584.3|||
8.0.1305015625.1|x-1|-2*X*T+16*Y*T-Z^2|-807561285309240555875435710472201671544344751422059853664520395898234068705444795674510690156628970729894027519482513408*X^3+6434046940843694434036437004061022454040638480381263483444217256418034070237655657444669718842908579868719420540392464384*X^2*Y+651445312104136189652752123961409329867064578630002959440199261071219623474615507411294144548135125452595862635808817152*X*Y^2-1804002952039337367535971082438624122099636245069399099415714444471388424346874258967073706669260768953482835947922915328*Y^3+2771912192794548888149112832719444680797664894965422922168552721631533004250061408232171832276075481445197283461577785988127203*Z*T^2
8.0.77292896256.1|||
8.0.764411904.5|||
8.0.2209822873.1|||
8.0.1262878369.3|||
8.0.6482804341.1|||
8.0.739840000.6|||
8.0.1262878369.2|||
8.0.339738624.2|x-1|1355605075*X^2+4120109690*X*Y-16216560380*X*Z+2148106187*Y^2+3516236652*Y*Z-23700503052*Z^2|352200059758324275*X^3+1701291828744196780*X^2*Y-8842843829575588010*X^2*Z-90819588885256201*X*Y^2+39699581366065392064*X*Y*Z+12248073229188811676*X*Z^2-4439759510531251758*Y^3-43607683290846441494*Y^2*Z-33954155860117965328*Y*Z^2-10974753315406859304*Z^3+572727692663523639990234375*T^3
8.0.82179050837.1|||
8.0.1262878369.1|||
8.0.188375625.1|||
8.0.475018694656.4|||
8.0.59312568200.1|||
8.0.4059346369.2|||
8.0.116313277205.1|||
8.0.198038498125.1|||
8.0.18205565184.1|||
8.0.187804356496.2|||
8.0.1834580224.3|||
8.0.69527932928.1|||
8.0.589363290000.1|||
8.0.1510410496.4|||
8.0.165650760208.1|||
8.0.131136688384.1|||
8.0.4236447744.3|x^2-2|(-12726855121*K.1+240123635)*X^2+(256*K.1-256)*Y^2+(-363468193792*K.1+391721353216)*Z^2|(14475326648620687456807615811079567733700049586298513103923289036271292*K.1+9561501159326640325363270610199649257134731547562914388729954092330420)*X^3+(2057944916289027768469294172897022172167552207632123014770161382400*K.1+635705642401796861600667338037597820147364917581652151041077081600)*X^2*Y+(22504228665978629579308618783345760337878444057864918563431276134400000*K.1+12221128480695127702841491431910731765620653732710162262365975330816000)*X^2*Z+(161250404277237999419643395949558532369893216793481464857338368*K.1-62824829685775372905626734416663429843081778076039247111177728)*X*Y^2+(3194697471170623129373313341653829484834897331896871236800072908800*K.1-136939149022423298107220438935691107309621438838104584878684241920)*X*Y*Z+(-575947266747135633615065470166904668031781753353167798521265776423141376*K.1+384569485581629809151490643756671003565059804629898802731990827025891328)*X*Z^2+(1922813749699950195064280607480559715018619979542922199040*K.1-1160339833133599460059209607213289878423800557774096343040)*Y^3+(132348063724921773086058978438847507651818851058598551259054080*K.1-76524060162685066333318943692383201683626168891302339475537920)*Y^2*Z+(-40634730650246744071721258615124345860513678312861829713660120924160*K.1+38438655079275505904923639620743473219561453010340274962776200314880)*Y*Z^2+(-89905335385606161791570607189861392118850607553551814866978928444047360*K.1+68567052941848967572971546210679565322077356550103110145979224109875200)*Z^3+(-271488250391043525*K.1+149815241248929375)*T^3
8.0.4236447744.3|x^2-2|(-12726855121*K.1+240123635)*X^2+(256*K.1-256)*Y^2+(-363468193792*K.1+391721353216)*Z^2|(-14475326648620687456807615811079567733700049586298513103923289036271292*K.1-9561501159326640325363270610199649257134731547562914388729954092330420)*X^3+(2057944916289027768469294172897022172167552207632123014770161382400*K.1+635705642401796861600667338037597820147364917581652151041077081600)*X^2*Y+(22504228665978629579308618783345760337878444057864918563431276134400000*K.1+12221128480695127702841491431910731765620653732710162262365975330816000)*X^2*Z+(-161250404277237999419643395949558532369893216793481464857338368*K.1+62824829685775372905626734416663429843081778076039247111177728)*X*Y^2+(-3194697471170623129373313341653829484834897331896871236800072908800*K.1+136939149022423298107220438935691107309621438838104584878684241920)*X*Y*Z+(575947266747135633615065470166904668031781753353167798521265776423141376*K.1-384569485581629809151490643756671003565059804629898802731990827025891328)*X*Z^2+(1922813749699950195064280607480559715018619979542922199040*K.1-1160339833133599460059209607213289878423800557774096343040)*Y^3+(132348063724921773086058978438847507651818851058598551259054080*K.1-76524060162685066333318943692383201683626168891302339475537920)*Y^2*Z+(-40634730650246744071721258615124345860513678312861829713660120924160*K.1+38438655079275505904923639620743473219561453010340274962776200314880)*Y*Z^2+(-89905335385606161791570607189861392118850607553551814866978928444047360*K.1+68567052941848967572971546210679565322077356550103110145979224109875200)*Z^3+(-271488250391043525*K.1+149815241248929375)*T^3
8.0.4968649025.1|||
8.0.5037359104.1|||
8.0.83322863649.1|||
