# format: CM field label|CM field coeffs|reflex field coeffs

8.0.142635249.1|[16,-24,12,6,-11,3,3,-3,1]|[27,-9,-6,6,-2,-1,1]
8.0.152695449.1|[16,-16,0,6,-5,3,0,-2,1]|[8,-19,28,-19,12,-3,1]
8.0.310217769.2|[1,1,5,-4,15,-2,4,0,1]|[16,-7,38,-30,6,-2,1]
8.0.391881616.1|[16,-24,8,8,-10,4,2,-3,1]|[8,-4,-2,5,-1,-1,1]
8.0.447703281.1|[16,-8,-8,4,3,2,-2,-1,1]|[4,-17,28,-23,14,-3,1]
8.0.562828176.1|[16,-16,4,4,-6,2,1,-2,1]|[64,-32,-12,18,-3,-2,1]
8.0.624650049.1|[4,2,9,0,15,2,5,-1,1]|[15,39,34,-22,2,-2,1]
8.0.1635150969.3|[1,0,40,0,38,0,11,0,1]|[14,-27,38,-23,14,-3,1]
8.0.1767277521.3|[7,-38,64,-40,38,-10,1,-2,1]|[192,0,117,0,21,0,1]
8.0.1898257761.1|[4,0,19,0,26,0,11,0,1]|[3,0,14,0,11,0,1]
8.0.2091141441.1|[81,-27,9,9,-15,3,1,-1,1]|[27,0,-6,-3,-2,0,1]
8.0.2672476416.4|[1,2,9,-10,24,-4,5,0,1]|[94,-77,31,-2,8,-3,1]
8.0.3098592225.1|[4,0,23,0,29,0,10,0,1]|[3,0,17,0,10,0,1]
8.0.3137792256.3|[4,4,12,0,18,4,8,-2,1]|[34,-14,36,-28,6,-2,1]
8.0.3318796881.1|[4,0,43,0,38,0,11,0,1]|[5,-18,29,-23,14,-3,1]
8.0.3535848369.1|[21,-72,61,14,-18,4,6,-4,1]|[108,0,109,0,22,0,1]
8.0.3755360961.1|[1,1,6,-5,24,-2,5,0,1]|[19,-9,71,-58,10,-1,1]
8.0.4069419264.1|[1,-12,55,-84,50,0,-7,0,1]|[64,-16,0,0,0,-1,1]
8.0.4443955569.1|[9,0,39,0,42,0,12,0,1]|[3,0,24,0,12,0,1]
8.0.4601315889.1|[9,12,31,-14,26,-3,6,-1,1]|[493,159,97,-38,4,-1,1]
8.0.4718041344.2|[256,-128,112,-80,25,-20,7,-2,1]|[16,6,57,-34,0,0,1]
8.0.4922986896.1|[4,0,47,0,47,0,13,0,1]|[7,-31,44,-27,16,-3,1]
8.0.5677321104.1|[13,-52,108,-126,99,-46,20,-4,1]|[3,0,35,0,13,0,1]
8.0.5808268944.1|[16,12,29,-7,24,-1,6,-1,1]|[229,231,74,-31,-2,-1,1]
